日付,球場,球団,対戦相手,ホーム/ビジター,打者名,打順,守備位置,投手名,投手利き腕,イニング,表裏,イニング内打席番号,打席内球数,自チーム打席前得点,相手チーム打席前得点,打席前点差,打席前アウト数,打席前走者状況コード,打席前一塁走者,打席前二塁走者,打席前三塁走者,打席前状況コード,打席結果,最終投球結果,この打席得点数,打点,自チーム打席後得点,相手チーム打席後得点,打席後点差,打席後アウト数,打席後走者状況コード,打席後一塁走者,打席後二塁走者,打席後三塁走者,打席後状況コード,得点圏フラグ,打者走者進塁先,打者走者アウト,一塁走者進塁先,一塁走者アウト,二塁走者進塁先,二塁走者アウト,三塁走者進塁先,三塁走者アウト,打席前RE,打席後RE,RE24,打席前WE,打席後WE,WPA,WE推定方法_前,WE推定方法_後,WEサンプル数_前,WEサンプル数_後
2025/3/29,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,長谷川　宙輝,左,7,裏,4,6,12,0,12,2,100,0,0,1,2_100,四球,ボール,0,0,12,0,12,2,110,0,1,1,2_110,0,1,0,2,0,0,0,0,0,0.184,0.368,0.184,1,1,0,inning_half_diff,inning_half_diff,16,16
2025/3/29,横浜,中日,DeNA,away,石川　昂弥,4,5,バウアー,右,2,表,1,4,0,0,0,0,0,0,0,0,0_000,右飛,凡打,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,exact,exact,517,378
2025/3/29,横浜,DeNA,中日,home,オースティン,4,3,松葉　貴大,左,2,裏,1,7,0,1,-1,0,0,0,0,0,0_000,見三振,見逃し,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.488095,0.412791,-0.075305,exact,exact,126,86
2025/3/29,横浜,中日,DeNA,away,石川　昂弥,4,5,バウアー,右,3,表,4,6,1,0,1,2,10,0,1,0,2_010,空三振,空振り,0,0,1,0,1,3,10,0,1,0,3_000,1,0,1,0,0,0,0,0,0,0.276,0,-0.276,0.558824,0.602362,0.043539,exact,next_half_exact,17,127
2025/3/29,横浜,DeNA,中日,home,オースティン,4,3,松葉　貴大,左,4,裏,2,5,0,1,-1,0,100,0,0,1,0_100,投直,凡打,0,0,0,1,-1,2,0,0,0,0,2_000,0,0,1,0,1,0,0,0,0,0.675,0.074,-0.602,0.4,0.315789,-0.084211,exact,exact,25,76
2025/3/29,横浜,中日,DeNA,away,石川　昂弥,4,5,バウアー,右,5,表,3,2,1,0,1,1,100,0,0,1,1_100,遊飛,凡打,0,0,1,0,1,2,100,0,0,1,2_100,0,0,1,0,0,0,0,0,0,0.398,0.184,-0.214,0.5625,0.65625,0.09375,exact,exact,24,32
2025/3/29,横浜,DeNA,中日,home,オースティン,4,3,松葉　貴大,左,7,裏,2,4,0,1,-1,1,0,0,0,0,1_000,一ゴロ,凡打,0,0,0,1,-1,2,0,0,0,0,2_000,0,0,1,0,0,0,0,0,0,0.189,0.074,-0.115,0.183824,0.145455,-0.038369,exact,exact,68,55
2025/3/29,横浜,中日,DeNA,away,石川　昂弥,4,5,颯,右,8,表,2,4,1,0,1,0,100,0,0,1,0_100,左２,二塁打,0,0,1,0,1,0,11,1,1,0,0_011,0,2,0,3,0,0,0,0,0,0.675,1.8,1.125,0.827586,0.847156,0.01957,exact,inning_half_diff,29,422
2025/3/29,マツダスタジアム,広島,阪神,home,モンテロ,4,3,富田　蓮,左,1,裏,4,6,0,0,0,2,100,0,0,1,2_100,右飛,凡打,0,0,0,0,0,3,100,0,0,1,3_000,0,0,1,0,0,0,0,0,0,0.184,0,-0.184,0.580882,0.53675,-0.044132,exact,next_half_exact,136,517
2025/3/29,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,床田　寛樹,左,2,表,1,6,0,0,0,0,0,0,0,0,0_000,右飛,凡打,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,exact,exact,517,378
2025/3/29,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,床田　寛樹,左,4,表,3,4,0,0,0,2,0,0,0,0,2_000,右飛,凡打,0,0,0,0,0,3,0,0,0,0,3_000,0,0,1,0,0,0,0,0,0,0.074,0,-0.074,0.466667,0.422566,-0.0441,exact,next_half_exact,150,226
2025/3/29,マツダスタジアム,広島,阪神,home,モンテロ,4,3,富田　蓮,左,4,裏,2,6,0,0,0,0,100,0,0,1,0_100,見三振,見逃し,0,0,0,0,0,1,100,0,0,1,1_100,0,0,1,0,0,0,0,0,0,0.675,0.398,-0.278,0.62963,0.630769,0.00114,exact,exact,54,65
2025/3/29,マツダスタジアム,広島,阪神,home,モンテロ,4,3,工藤　泰成,右,5,裏,6,5,1,1,0,2,111,1,1,1,2_111,四球,ボール,1,1,2,1,1,2,111,1,1,1,2_111,1,1,0,2,0,3,0,4,0,0.562,0.562,1,0.615385,0.625,0.009615,exact,exact,13,8
2025/3/29,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,床田　寛樹,左,6,表,4,2,1,2,-1,2,10,0,1,0,2_010,左本,本塁打,2,2,3,2,1,2,0,0,0,0,2_000,1,4,0,0,0,4,0,0,0,0.276,0.074,1.798,0.166667,0.669492,0.502825,exact,exact,21,59
2025/3/29,マツダスタジアム,広島,阪神,home,モンテロ,4,3,石井　大智,右,7,裏,5,5,2,3,-1,2,110,0,1,1,2_110,空三振,空振り,0,0,2,3,-1,3,110,0,1,1,3_000,1,0,1,0,0,0,0,0,0,0.368,0,-0.368,0.111111,0.14433,0.033219,exact,next_half_exact,9,97
2025/3/29,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,森浦　大輔,左,8,表,2,3,3,2,1,1,0,0,0,0,1_000,右安,単打,0,0,3,2,1,1,100,0,0,1,1_100,0,1,0,0,0,0,0,0,0,0.189,0.398,0.209,0.891667,0.83871,-0.052957,exact,exact,60,31
